ts_code,hold_ratio,top_10_d_r
000001.SZ,72.32,72.32
000002.SZ,59.73,59.73
000004.SZ,59.26,59.26
000005.SZ,25.570000000000004,25.570000000000004
000006.SZ,43.65,43.65
000007.SZ,48.91,48.91
000008.SZ,48.62000000000001,48.62000000000001
000009.SZ,24.78,24.78
000010.SZ,45.06,45.06
000011.SZ,66.21000000000001,66.21000000000001
000012.SZ,32.03,32.03
000014.SZ,42.25,42.25
000016.SZ,45.58000000000001,45.58000000000001
000017.SZ,21.96,21.96
000019.SZ,73.93,73.93
000020.SZ,57.24,57.24
000021.SZ,51.08,51.08
000023.SZ,47.3,47.3
000025.SZ,66.19000000000001,66.19000000000001
000026.SZ,44.52,44.52
000027.SZ,79.28,79.28
000028.SZ,72.08000000000001,72.08000000000001
000029.SZ,65.70999999999998,65.70999999999998
000030.SZ,76.37,76.37
000031.SZ,80.72,80.72
000032.SZ,65.96,65.96
000034.SZ,51.5694,51.5694
000035.SZ,49.84,49.84
000036.SZ,37.92999999999999,37.92999999999999
000037.SZ,48.94,48.94
000038.SZ,70.19,70.19
000039.SZ,78.64999999999998,78.64999999999998
000040.SZ,45.34,45.34
000042.SZ,74.55,74.55
000045.SZ,52.35,52.35
000046.SZ,82.28999999999998,82.28999999999998
000048.SZ,80.97999999999998,80.97999999999998
000049.SZ,64.28,64.28
000050.SZ,62.3,62.3
000055.SZ,28.64,28.64
000056.SZ,61.88,61.88
000058.SZ,59.81,59.81
000059.SZ,53.24,53.24
000060.SZ,43.15000000000001,43.15000000000001
000061.SZ,70.88,70.88
000062.SZ,79.7,79.7
000063.SZ,46.98,46.98
000065.SZ,68.65,68.65
000066.SZ,47.43,47.43
000068.SZ,41.86,41.86
000069.SZ,64.22,64.22
000070.SZ,47.03999999999999,47.03999999999999
000078.SZ,47.73,47.73
000088.SZ,78.26000000000002,78.26000000000002
000089.SZ,65.58999999999999,65.58999999999999
000090.SZ,50.32,50.32
000096.SZ,80.25000000000001,80.25000000000001
000099.SZ,46.87000000000001,46.87000000000001
000100.SZ,14.07,14.07
000150.SZ,60.27,60.27
000151.SZ,49.040000000000006,49.040000000000006
000153.SZ,34.540000000000006,34.540000000000006
000155.SZ,54.88,54.88
000156.SZ,69.97,69.97
000157.SZ,61.97,61.97
000158.SZ,40.81,40.81
000159.SZ,28.960000000000004,28.960000000000004
000166.SZ,76.02,76.02
000301.SZ,82.47999999999998,82.47999999999998
000333.SZ,58.13,58.13
000338.SZ,62.40000000000001,62.40000000000001
000400.SZ,54.72,54.72
000401.SZ,47.53,47.53
000402.SZ,73.97999999999998,73.97999999999998
000403.SZ,58.83000000000001,58.83000000000001
000404.SZ,40.33,40.33
000407.SZ,37.33000000000001,37.33000000000001
000408.SZ,83.19999999999997,83.19999999999997
000409.SZ,39.62000000000001,39.62000000000001
000410.SZ,56.71,56.71
000411.SZ,66.36,66.36
000413.SZ,28.83,28.83
000415.SZ,69.25000000000001,69.25000000000001
000416.SZ,28.33,28.33
000417.SZ,58.75,58.75
000419.SZ,53.25000000000001,53.25000000000001
000420.SZ,50.41,50.41
000421.SZ,59.03000000000001,59.03000000000001
000422.SZ,41.43,41.43
000423.SZ,53.23,53.23
000425.SZ,59.07,59.07
000426.SZ,61.1,61.1
000428.SZ,60.84,60.84
000429.SZ,70.35000000000001,70.35000000000001
000430.SZ,56.56,56.56
000488.SZ,45.63,45.63
000498.SZ,50.3,50.3
000501.SZ,51.62000000000001,51.62000000000001
000502.SZ,42.44,42.44
000503.SZ,30.7,30.7
000504.SZ,52.57,52.57
000505.SZ,55.78,55.78
000506.SZ,47.87,47.87
000507.SZ,42.95,42.95
000509.SZ,33.65,33.65
000510.SZ,18.11,18.11
000513.SZ,68.1,68.1
000514.SZ,65.66,65.66
000516.SZ,35.68,35.68
000517.SZ,85.21,85.21
000518.SZ,41.790000000000006,41.790000000000006
000519.SZ,53.88,53.88
000520.SZ,43.49,43.49
000521.SZ,37.49,37.49
000523.SZ,50.63,50.63
000524.SZ,79.39,79.39
000525.SZ,53.46,53.46
000526.SZ,57.05,57.05
000528.SZ,43.95,43.95
000529.SZ,59.0,59.0
000530.SZ,34.160000000000004,34.160000000000004
000531.SZ,66.08,66.08
000532.SZ,51.78,51.78
000533.SZ,45.97,45.97
000534.SZ,63.42,63.42
000536.SZ,47.088,47.088
000537.SZ,82.66000000000003,82.66000000000003
000538.SZ,76.99000000000002,76.99000000000002
000539.SZ,77.46000000000002,77.46000000000002
000540.SZ,54.84,54.84
000541.SZ,47.41,47.41
000543.SZ,64.11999999999999,64.11999999999999
000544.SZ,78.21000000000002,78.21000000000002
000545.SZ,34.26,34.26
000546.SZ,55.43,55.43
000547.SZ,34.55,34.55
000548.SZ,35.58000000000001,35.58000000000001
000550.SZ,112.57,112.57
000551.SZ,51.268,51.268
000552.SZ,68.51,68.51
000553.SZ,83.07000000000002,83.07000000000002
000554.SZ,30.09,30.09
000555.SZ,57.14999999999999,57.14999999999999
000557.SZ,61.2,61.2
000558.SZ,53.23,53.23
000559.SZ,63.76,63.76
000560.SZ,52.98,52.98
000561.SZ,58.99999999999999,58.99999999999999
000563.SZ,60.540000000000006,60.540000000000006
000564.SZ,55.55,55.55
000565.SZ,44.53,44.53
000566.SZ,54.51000000000001,54.51000000000001
000567.SZ,76.85000000000002,76.85000000000002
000568.SZ,63.9,63.9
000570.SZ,34.68,34.68
000571.SZ,30.96,30.96
000572.SZ,50.03,50.03
000573.SZ,30.48,30.48
000576.SZ,50.459999999999994,50.459999999999994
000581.SZ,48.96,48.96
