ts_code,hold_ratio,top10_d_r
000001.SZ,72.32,72.32
000002.SZ,59.73,59.73
000004.SZ,59.260000000000005,59.260000000000005
000005.SZ,25.57,25.57
000006.SZ,43.650000000000006,43.650000000000006
000007.SZ,48.91,48.91
000008.SZ,48.620000000000005,48.620000000000005
000009.SZ,24.78,24.78
000010.SZ,45.06,45.06
000011.SZ,66.21000000000001,66.21000000000001
000012.SZ,32.03,32.03
000014.SZ,42.25,42.25
000016.SZ,45.58,45.58
000017.SZ,21.96,21.96
000019.SZ,73.92999999999998,73.92999999999998
000020.SZ,57.24,57.24
000021.SZ,51.08,51.08
000023.SZ,47.3,47.3
000025.SZ,66.19,66.19
000026.SZ,44.52,44.52
000027.SZ,79.27999999999999,79.27999999999999
000028.SZ,72.08000000000001,72.08000000000001
000029.SZ,65.71,65.71
000030.SZ,76.36999999999999,76.36999999999999
000031.SZ,80.72,80.72
000032.SZ,65.96,65.96
000034.SZ,51.5832,51.5832
000035.SZ,49.839999999999996,49.839999999999996
000036.SZ,37.93,37.93
000037.SZ,48.94,48.94
000038.SZ,70.19,70.19
000039.SZ,78.65,78.65
000040.SZ,45.34,45.34
000042.SZ,74.55000000000001,74.55000000000001
000045.SZ,52.35,52.35
000046.SZ,82.28999999999999,82.28999999999999
000048.SZ,80.97999999999999,80.97999999999999
000049.SZ,64.28,64.28
000050.SZ,62.30000000000001,62.30000000000001
000055.SZ,28.64,28.64
000056.SZ,61.88000000000001,61.88000000000001
000058.SZ,59.81,59.81
000059.SZ,53.24,53.24
000060.SZ,43.15,43.15
000061.SZ,70.88,70.88
000062.SZ,79.70000000000002,79.70000000000002
000063.SZ,46.980000000000004,46.980000000000004
000065.SZ,68.64999999999999,68.64999999999999
000066.SZ,47.43,47.43
000068.SZ,41.86,41.86
000069.SZ,64.22,64.22
000070.SZ,47.04,47.04
000078.SZ,47.730000000000004,47.730000000000004
000088.SZ,78.25999999999999,78.25999999999999
000089.SZ,65.58999999999999,65.58999999999999
000090.SZ,50.32,50.32
000096.SZ,80.25,80.25
000099.SZ,46.870000000000005,46.870000000000005
000100.SZ,14.07,14.07
000150.SZ,60.27,60.27
000151.SZ,49.04,49.04
000153.SZ,34.54,34.54
000155.SZ,54.88,54.88
000156.SZ,69.97,69.97
000157.SZ,61.97,61.97
000158.SZ,49.0,49.0
000159.SZ,28.960000000000004,28.960000000000004
000166.SZ,76.02000000000001,76.02000000000001
000301.SZ,82.48,82.48
000333.SZ,58.13,58.13
000338.SZ,62.400000000000006,62.400000000000006
000400.SZ,54.72,54.72
000401.SZ,47.53,47.53
000402.SZ,73.98,73.98
000403.SZ,58.83,58.83
000404.SZ,40.330000000000005,40.330000000000005
000407.SZ,37.33,37.33
000408.SZ,83.19999999999999,83.19999999999999
000409.SZ,39.62,39.62
000410.SZ,56.709999999999994,56.709999999999994
000411.SZ,66.36,66.36
000413.SZ,28.830000000000002,28.830000000000002
000415.SZ,69.25,69.25
000416.SZ,28.330000000000002,28.330000000000002
000417.SZ,58.75,58.75
000419.SZ,53.25,53.25
000420.SZ,50.410000000000004,50.410000000000004
000421.SZ,59.03000000000001,59.03000000000001
000422.SZ,41.43,41.43
000423.SZ,53.230000000000004,53.230000000000004
000425.SZ,59.07,59.07
000426.SZ,61.1,61.1
000428.SZ,60.839999999999996,60.839999999999996
000429.SZ,70.34999999999998,70.34999999999998
000430.SZ,56.559999999999995,56.559999999999995
000488.SZ,45.629999999999995,45.629999999999995
000498.SZ,50.3,50.3
000501.SZ,51.62,51.62
000502.SZ,42.43999999999999,42.43999999999999
000503.SZ,30.7,30.7
000504.SZ,52.57,52.57
000505.SZ,55.78,55.78
000506.SZ,47.870000000000005,47.870000000000005
000507.SZ,42.95000000000001,42.95000000000001
000509.SZ,33.65,33.65
000510.SZ,18.11,18.11
000513.SZ,68.10000000000001,68.10000000000001
000514.SZ,65.66,65.66
000516.SZ,35.68000000000001,35.68000000000001
000517.SZ,85.21,85.21
000518.SZ,41.79,41.79
000519.SZ,53.879999999999995,53.879999999999995
000520.SZ,43.489999999999995,43.489999999999995
000521.SZ,37.49000000000001,37.49000000000001
000523.SZ,50.63,50.63
000524.SZ,79.39,79.39
000525.SZ,53.46,53.46
000526.SZ,57.050000000000004,57.050000000000004
000528.SZ,43.949999999999996,43.949999999999996
000529.SZ,59.0,59.0
000530.SZ,34.160000000000004,34.160000000000004
000531.SZ,66.08,66.08
000532.SZ,51.779999999999994,51.779999999999994
000533.SZ,45.970000000000006,45.970000000000006
000534.SZ,63.42,63.42
000536.SZ,52.314099999999996,52.314099999999996
000537.SZ,82.66,82.66
000538.SZ,76.99,76.99
000539.SZ,77.46000000000002,77.46000000000002
000540.SZ,54.84,54.84
000541.SZ,47.41,47.41
000543.SZ,64.11999999999999,64.11999999999999
000544.SZ,78.21000000000001,78.21000000000001
000545.SZ,34.26,34.26
000546.SZ,55.43,55.43
000547.SZ,34.55,34.55
000548.SZ,35.58,35.58
000550.SZ,112.57,112.57
000551.SZ,51.268,51.268
000552.SZ,68.51,68.51
000553.SZ,83.07,83.07
000554.SZ,30.090000000000003,30.090000000000003
000555.SZ,57.15,57.15
000557.SZ,61.2,61.2
000558.SZ,53.230000000000004,53.230000000000004
000559.SZ,63.76,63.76
000560.SZ,52.98,52.98
000561.SZ,59.0,59.0
000563.SZ,60.54,60.54
000564.SZ,55.55,55.55
000565.SZ,44.529999999999994,44.529999999999994
000566.SZ,54.51,54.51
000567.SZ,76.85,76.85
000568.SZ,63.9,63.9
000570.SZ,34.68000000000001,34.68000000000001
